error_id,language,compiler,error_message,category
533,C++,Clang,TypeError: unsupported operand types for 'id',Semantic
534,C,Clang,invalid token '?',Lexical
535,C++,Clang,expected ')' matching '(' before 'status',Syntactic
536,C++,GCC,expected ';' before 'status',Syntactic
537,Python,Python,missing '=' in expression,Syntactic
538,C,Clang,syntax error near 'list',Syntactic
539,C,Clang,missing 'delta' in expression,Syntactic
540,Python,Python,use of undeclared identifier 'length',Semantic
541,C,GCC,missing 'sum' in expression,Syntactic
542,C++,Clang,expected identifier or '(' before 'foo',Syntactic
543,C++,Clang,unexpected 'node',Syntactic
544,Python,Python,missing 'size' in expression,Syntactic
545,C,Clang,variable 'state' is uninitialized when used here,Semantic
546,C++,GCC,syntax error near 'id',Syntactic
547,C,GCC,cannot convert 'item' to pointer,Semantic
548,Python,Python,unterminated string literal 'name',Lexical
549,C++,Clang,missing 'val' in expression,Syntactic
550,C,GCC,invalid token 'total',Lexical
551,C++,GCC,invalid token 'alpha',Lexical
552,C,GCC,syntax error near 'value',Syntactic
553,C++,GCC,unexpected '=',Syntactic
554,Python,Python,stray 'array' in program,Lexical
555,C++,Clang,expected identifier or '(' before '>',Syntactic
556,C,Clang,unterminated string literal 'var',Lexical
557,C,Clang,redefinition of 'str',Semantic
558,C++,Clang,expected ')' matching '(' before 'value',Syntactic
559,C,GCC,variable 'j' is uninitialized when used here,Semantic
560,C++,Clang,expected identifier or '(' before 'var',Syntactic
561,C,GCC,expected identifier or '(' before 'bar',Syntactic
562,C,Clang,variable 'ptr' is uninitialized when used here,Semantic
563,C,GCC,unterminated string literal 'char',Lexical
564,C,GCC,invalid token 'obj',Lexical
565,C++,GCC,incompatible types when assigning 'num' to 'num',Semantic
566,C++,GCC,syntax error near 'average',Syntactic
567,Python,Python,expected '}' at end of input near '~',Syntactic
568,C,GCC,syntax error near '~',Syntactic
569,C,GCC,expected ')' matching '(' before 'user',Syntactic
570,C,Clang,unterminated string literal 'temp',Lexical
571,C++,GCC,expected identifier or '(' before 'epsilon',Syntactic
572,C++,GCC,redefinition of 'list',Semantic
573,C++,GCC,variable 'x' is uninitialized when used here,Semantic
574,C++,Clang,unterminated string literal 'float',Lexical
575,C,GCC,IndexError: 'height' index out of range,Semantic
576,C++,GCC,unexpected '<',Syntactic
577,C,GCC,missing whitespace after 'length',Lexical
578,C,GCC,invalid token 'beta',Lexical
579,Python,Python,expected '}' at end of input near 'total',Syntactic
580,C,Clang,use of undeclared identifier '|',Semantic
581,C++,GCC,missing whitespace after 'temp',Lexical
582,Python,Python,TypeError: unsupported operand types for '&',Semantic
583,C,Clang,unterminated string literal 'count',Lexical
584,C,GCC,expected identifier or '(' before '&',Syntactic
585,Python,Python,expected identifier or '(' before 'flag',Syntactic
586,C++,Clang,expected '}' at end of input near 'item',Syntactic
587,Python,Python,expected ')' matching '(' before 'foo',Syntactic
588,C++,Clang,syntax error near '+',Syntactic
589,C,GCC,expected '}' at end of input near '!',Syntactic
590,C,GCC,variable 'temp' is uninitialized when used here,Semantic
591,C,Clang,expected ';' before 'j',Syntactic
592,C++,GCC,missing '<' in expression,Syntactic
593,C,GCC,unterminated string literal 'password',Lexical
594,Python,Python,missing whitespace after 'item',Lexical
595,C++,Clang,redefinition of 'alpha',Semantic
596,C++,Clang,missing 'width' in expression,Syntactic
597,C++,GCC,expected identifier or '(' before 'i',Syntactic
598,Python,Python,unexpected '*',Syntactic
599,C++,GCC,invalid token 'float',Lexical
600,C++,GCC,expected ')' matching '(' before '=',Syntactic
601,C,GCC,expected ')' matching '(' before 'result',Syntactic
602,C++,GCC,TypeError: unsupported operand types for 'result',Semantic
603,C,GCC,cannot convert 'status' to pointer,Semantic
604,C,GCC,use of undeclared identifier 'state',Semantic
605,C++,GCC,invalid token '/',Lexical
606,C++,GCC,expected ';' before 'state',Syntactic
607,C,Clang,expected '}' at end of input near 'average',Syntactic
608,C++,GCC,stray 'item' in program,Lexical
609,C++,GCC,missing whitespace after 'buffer',Lexical
610,Python,Python,TypeError: unsupported operand types for 'max',Semantic
611,Python,Python,incompatible types when assigning 'test' to 'test',Semantic
612,C++,GCC,IndexError: '>' index out of range,Semantic
613,Python,Python,missing whitespace after '?',Lexical
614,C++,GCC,use of undeclared identifier '*',Semantic
615,C,Clang,incompatible types when assigning 'x' to 'x',Semantic
616,C++,Clang,stray 'gamma' in program,Lexical
617,C,GCC,cannot convert 'bar' to pointer,Semantic
618,C,Clang,expected '}' at end of input near 'char',Syntactic
619,C,Clang,expected ';' before '?',Syntactic
620,C,GCC,invalid character '/' in identifier,Lexical
621,C++,GCC,expected identifier or '(' before 'temp',Syntactic
622,Python,Python,invalid character 'array' in identifier,Lexical
623,C,Clang,TypeError: unsupported operand types for 'admin',Semantic
624,C,GCC,use of undeclared identifier '=',Semantic
625,Python,Python,expected '}' at end of input near '?',Syntactic
626,C++,GCC,missing whitespace after '/',Lexical
627,C,GCC,expected ')' matching '(' before '@',Syntactic
628,C,GCC,incompatible types when assigning '^' to '^',Semantic
629,C,GCC,invalid character 'bar' in identifier,Lexical
630,C++,Clang,incompatible types when assigning 'item' to 'item',Semantic
631,Python,Python,missing '+' in expression,Syntactic
632,Python,Python,cannot convert 'mean' to pointer,Semantic
633,C,GCC,expected ')' matching '(' before 'int',Syntactic
634,C,Clang,unexpected character '+',Lexical
635,Python,Python,redefinition of '!',Semantic
636,C++,GCC,unterminated string literal 'max',Lexical
637,C,Clang,TypeError: unsupported operand types for 'name',Semantic
638,C++,Clang,IndexError: 'float' index out of range,Semantic
639,C++,Clang,unexpected 'status',Syntactic
640,Python,Python,IndexError: '-' index out of range,Semantic
641,Python,Python,missing 'var' in expression,Syntactic
642,C++,Clang,cannot convert 'float' to pointer,Semantic
643,C++,Clang,invalid suffix 'mode' on integer constant,Lexical
644,C++,Clang,expected ';' before 'index',Syntactic
645,C++,Clang,missing whitespace after 'state',Lexical
646,C,GCC,invalid character 'admin' in identifier,Lexical
647,C++,GCC,syntax error near 'password',Syntactic
648,C++,GCC,use of undeclared identifier 'name',Semantic
649,C++,Clang,unexpected 'double',Syntactic
650,C,GCC,use of undeclared identifier 'status',Semantic
651,C,GCC,unterminated string literal 'double',Lexical
652,Python,Python,incompatible types when assigning 'buffer' to 'buffer',Semantic
653,C,GCC,use of undeclared identifier 'mode',Semantic
654,C,GCC,invalid suffix 'char' on integer constant,Lexical
655,Python,Python,expected '}' at end of input near 'foo',Syntactic
656,C,GCC,unterminated string literal 'beta',Lexical
657,Python,Python,missing 'temp' in expression,Syntactic
658,C++,GCC,syntax error near 'gamma',Syntactic
659,C,Clang,invalid character '!' in identifier,Lexical
660,C++,Clang,missing 'foo' in expression,Syntactic
661,C++,GCC,invalid character '<' in identifier,Lexical
662,C++,Clang,unexpected character 'float',Lexical
663,C++,GCC,IndexError: 'data' index out of range,Semantic
664,C++,Clang,missing 'item' in expression,Syntactic
665,C++,Clang,missing 'obj' in expression,Syntactic
666,C++,Clang,cannot convert 'j' to pointer,Semantic
667,C,GCC,redefinition of 'j',Semantic
668,C++,Clang,unexpected character 'data',Lexical
669,Python,Python,TypeError: unsupported operand types for 'data',Semantic
670,C++,Clang,TypeError: unsupported operand types for '>',Semantic
671,C,GCC,IndexError: 'bar' index out of range,Semantic
672,Python,Python,cannot convert 'y' to pointer,Semantic
673,C,GCC,variable 'obj' is uninitialized when used here,Semantic
674,C++,GCC,invalid token 'bar',Lexical
675,C,GCC,invalid suffix 'state' on integer constant,Lexical
676,C,GCC,expected ';' before 'double',Syntactic
677,C++,Clang,expected identifier or '(' before '!',Syntactic
678,C,GCC,invalid character '>' in identifier,Lexical
679,Python,Python,missing whitespace after 'epsilon',Lexical
680,C++,Clang,IndexError: 'char' index out of range,Semantic
681,C,Clang,unexpected character '%',Lexical
682,C++,GCC,stray 'obj' in program,Lexical
683,Python,Python,invalid character 'total' in identifier,Lexical
684,C,Clang,expected ')' matching '(' before '-',Syntactic
685,C,GCC,missing whitespace after '%',Lexical
686,C++,GCC,TypeError: unsupported operand types for 'beta',Semantic
687,Python,Python,use of undeclared identifier 'password',Semantic
688,C++,Clang,invalid character 'ptr' in identifier,Lexical
689,Python,Python,stray 'ptr' in program,Lexical
690,C,Clang,invalid character '%' in identifier,Lexical
691,Python,Python,variable 'double' is uninitialized when used here,Semantic
692,C++,GCC,missing 'str' in expression,Syntactic
693,C++,GCC,missing whitespace after '~',Lexical
694,C++,Clang,incompatible types when assigning 'value' to 'value',Semantic
695,C,Clang,invalid suffix 'count' on integer constant,Lexical
696,C++,GCC,invalid token '&',Lexical
697,C++,Clang,unexpected character 'height',Lexical
698,C,Clang,stray 'key' in program,Lexical
699,C++,GCC,incompatible types when assigning 'id' to 'id',Semantic
700,C++,Clang,missing whitespace after 'key',Lexical
701,Python,Python,expected '}' at end of input near 'name',Syntactic
702,C,Clang,variable '@' is uninitialized when used here,Semantic
703,C++,Clang,missing whitespace after 'ptr',Lexical
704,C,GCC,unexpected character 'length',Lexical
705,C,Clang,stray 'max' in program,Lexical
706,C,GCC,missing whitespace after 'sum',Lexical
707,C++,Clang,expected identifier or '(' before '*',Syntactic
708,C++,Clang,TypeError: unsupported operand types for 'float',Semantic
709,C,Clang,expected ')' matching '(' before 'epsilon',Syntactic
710,Python,Python,stray 'length' in program,Lexical
711,Python,Python,use of undeclared identifier 'y',Semantic
712,C++,Clang,missing whitespace after '&',Lexical
713,C++,GCC,missing 'name' in expression,Syntactic
714,C++,Clang,invalid character 'list' in identifier,Lexical
715,C++,GCC,unterminated string literal 'epsilon',Lexical
716,C,Clang,missing whitespace after '@',Lexical
717,C,GCC,invalid token 'mode',Lexical
718,C++,GCC,unterminated string literal 'bar',Lexical
719,C++,Clang,variable 'test' is uninitialized when used here,Semantic
720,Python,Python,missing whitespace after 'str',Lexical
721,C++,GCC,incompatible types when assigning 'password' to 'password',Semantic
722,C,GCC,redefinition of 'id',Semantic
723,C,GCC,invalid token 'num',Lexical
724,Python,Python,expected identifier or '(' before 'node',Syntactic
725,C,Clang,unexpected character 'str',Lexical
726,C++,Clang,variable 'char' is uninitialized when used here,Semantic
727,C++,Clang,cannot convert '<' to pointer,Semantic
728,C,GCC,expected ';' before 'min',Syntactic
729,C,GCC,expected identifier or '(' before 'state',Syntactic
730,C++,Clang,syntax error near 'test',Syntactic
731,C++,GCC,expected '}' at end of input near 'length',Syntactic
732,Python,Python,incompatible types when assigning 'beta' to 'beta',Semantic
733,C++,Clang,missing 'num' in expression,Syntactic
734,C++,GCC,incompatible types when assigning 'key' to 'key',Semantic
735,C++,Clang,TypeError: unsupported operand types for 'flag',Semantic
736,C,GCC,IndexError: 'id' index out of range,Semantic
737,C++,GCC,cannot convert 'str' to pointer,Semantic
738,C++,GCC,invalid token '-',Lexical
739,C,Clang,unterminated string literal 'state',Lexical
740,C++,GCC,expected ')' matching '(' before '<',Syntactic
741,C,Clang,incompatible types when assigning '/' to '/',Semantic
742,Python,Python,variable 'foo' is uninitialized when used here,Semantic
743,Python,Python,missing whitespace after 'alpha',Lexical
744,C,Clang,expected '}' at end of input near 'count',Syntactic
745,Python,Python,stray 'id' in program,Lexical
746,Python,Python,TypeError: unsupported operand types for 'char',Semantic
747,C++,GCC,invalid token 'array',Lexical
748,C++,GCC,unterminated string literal 'num',Lexical
749,C,Clang,redefinition of 'epsilon',Semantic
750,C,GCC,expected ';' before 'item',Syntactic
751,C,GCC,unterminated string literal '?',Lexical
752,C++,Clang,expected '}' at end of input near 'list',Syntactic
753,C,GCC,unexpected '/',Syntactic
754,C,Clang,expected identifier or '(' before 'gamma',Syntactic
755,Python,Python,use of undeclared identifier '%',Semantic
756,C,GCC,invalid suffix 'average' on integer constant,Lexical
757,C++,Clang,IndexError: 'omega' index out of range,Semantic
758,C,GCC,TypeError: unsupported operand types for 'str',Semantic
759,C++,GCC,unexpected 'beta',Syntactic
760,C++,GCC,unexpected 'var',Syntactic
761,C,Clang,stray '<' in program,Lexical
762,C++,Clang,invalid suffix '!' on integer constant,Lexical
763,C++,GCC,cannot convert 'mode' to pointer,Semantic
764,C++,GCC,syntax error near 'status',Syntactic
765,C++,GCC,TypeError: unsupported operand types for 'epsilon',Semantic
766,C++,GCC,missing 'beta' in expression,Syntactic
767,C,Clang,redefinition of 'gamma',Semantic
768,Python,Python,expected identifier or '(' before 'user',Syntactic
769,C++,Clang,invalid suffix '~' on integer constant,Lexical
770,Python,Python,invalid suffix 'name' on integer constant,Lexical
771,C,GCC,syntax error near 'obj',Syntactic
772,C++,GCC,unexpected 'min',Syntactic
773,C++,Clang,redefinition of '>',Semantic
774,Python,Python,unexpected character 'total',Lexical
775,C++,GCC,use of undeclared identifier 'index',Semantic
776,C,GCC,redefinition of '-',Semantic
777,C,Clang,invalid character 'average' in identifier,Lexical
778,C++,Clang,invalid suffix 'temp' on integer constant,Lexical
779,C,GCC,expected identifier or '(' before 'float',Syntactic
780,Python,Python,missing 'admin' in expression,Syntactic
781,C,Clang,incompatible types when assigning 'i' to 'i',Semantic
782,C,Clang,expected identifier or '(' before '-',Syntactic
783,C++,Clang,unterminated string literal '%',Lexical
784,C++,Clang,incompatible types when assigning 'user' to 'user',Semantic
785,C++,GCC,TypeError: unsupported operand types for '@',Semantic
786,C++,Clang,cannot convert 'size' to pointer,Semantic
787,Python,Python,missing whitespace after 'test',Lexical
788,C,Clang,stray 'status' in program,Lexical
789,C,Clang,TypeError: unsupported operand types for 'int',Semantic
790,C,GCC,invalid suffix 'num' on integer constant,Lexical
791,C++,GCC,redefinition of 'max',Semantic
792,C++,GCC,invalid character 'name' in identifier,Lexical
793,C,GCC,redefinition of 'min',Semantic
794,C++,GCC,unterminated string literal 'total',Lexical
795,C++,GCC,expected ';' before 'i',Syntactic
796,C,GCC,missing whitespace after 'data',Lexical
797,Python,Python,expected ')' matching '(' before 'node',Syntactic
798,C++,GCC,expected ';' before 'omega',Syntactic
799,C++,Clang,unterminated string literal 'data',Lexical
800,Python,Python,variable '>' is uninitialized when used here,Semantic
801,C++,GCC,redefinition of 'mean',Semantic
802,C,Clang,unexpected character 'state',Lexical
803,C++,Clang,TypeError: unsupported operand types for '^',Semantic
804,C,GCC,missing whitespace after 'num',Lexical
805,C,Clang,invalid token 'count',Lexical
806,C++,GCC,unexpected character 'mean',Lexical
807,C++,GCC,redefinition of 'array',Semantic
808,C,Clang,stray 'flag' in program,Lexical
809,C++,Clang,stray '&' in program,Lexical
810,C,Clang,expected '}' at end of input near '&',Syntactic
811,C++,GCC,TypeError: unsupported operand types for 'j',Semantic
812,Python,Python,invalid suffix 'omega' on integer constant,Lexical
813,C,Clang,invalid token '*',Lexical
814,C,Clang,stray 'float' in program,Lexical
815,C++,Clang,expected '}' at end of input near 'index',Syntactic
816,C,GCC,missing whitespace after 'int',Lexical
817,C,Clang,variable '?' is uninitialized when used here,Semantic
818,C++,Clang,unexpected '^',Syntactic
819,C,Clang,unterminated string literal 'obj',Lexical
820,C,Clang,expected ';' before 'var',Syntactic
821,Python,Python,expected ')' matching '(' before 'total',Syntactic
822,C++,Clang,IndexError: 'sum' index out of range,Semantic
823,C++,GCC,expected '}' at end of input near 'float',Syntactic
824,C++,Clang,invalid token '%',Lexical
825,C,Clang,unexpected character 'list',Lexical
826,C,GCC,TypeError: unsupported operand types for '<',Semantic
827,C,Clang,use of undeclared identifier 'int',Semantic
828,Python,Python,IndexError: 'size' index out of range,Semantic
829,Python,Python,invalid token 'min',Lexical
830,C++,GCC,invalid token '!',Lexical
831,C++,GCC,stray 'width' in program,Lexical
832,C++,Clang,stray 'size' in program,Lexical
833,C,Clang,incompatible types when assigning 'admin' to 'admin',Semantic
834,C++,Clang,IndexError: '?' index out of range,Semantic
835,Python,Python,missing whitespace after 'j',Lexical
836,C,GCC,invalid token '+',Lexical
837,C,Clang,syntax error near '&',Syntactic
838,Python,Python,incompatible types when assigning 'flag' to 'flag',Semantic
839,C,Clang,stray '|' in program,Lexical
840,C,GCC,expected ')' matching '(' before 'buffer',Syntactic
841,Python,Python,expected '}' at end of input near '|',Syntactic
842,C++,Clang,incompatible types when assigning '*' to '*',Semantic
843,C++,Clang,unexpected 'array',Syntactic
844,C,GCC,expected ';' before 'ptr',Syntactic
845,Python,Python,unexpected 'admin',Syntactic
846,C++,Clang,missing 'data' in expression,Syntactic
847,C++,GCC,expected '}' at end of input near '*',Syntactic
848,C,Clang,invalid token 'user',Lexical
849,C++,GCC,stray 'total' in program,Lexical
850,Python,Python,unterminated string literal 'type',Lexical
851,C,Clang,TypeError: unsupported operand types for 'var',Semantic
852,C,Clang,stray 'min' in program,Lexical
853,C,Clang,unterminated string literal 'ptr',Lexical
854,C,GCC,redefinition of 'beta',Semantic
855,C++,Clang,incompatible types when assigning 'name' to 'name',Semantic
856,C,Clang,expected ')' matching '(' before 'width',Syntactic
857,Python,Python,redefinition of 'total',Semantic
858,C++,GCC,unexpected 'val',Syntactic
859,Python,Python,incompatible types when assigning 'status' to 'status',Semantic
860,Python,Python,redefinition of '&',Semantic
861,Python,Python,cannot convert 'array' to pointer,Semantic
862,C,GCC,use of undeclared identifier 'count',Semantic
863,C,GCC,IndexError: 'min' index out of range,Semantic
864,C++,GCC,expected ';' before 'buffer',Syntactic
865,Python,Python,unterminated string literal 'min',Lexical
866,C,GCC,syntax error near 'min',Syntactic
867,C,Clang,invalid suffix 'result' on integer constant,Lexical
868,C,Clang,invalid token '@',Lexical
869,C++,GCC,invalid character 'obj' in identifier,Lexical
870,C++,Clang,invalid token '>',Lexical
871,C,Clang,IndexError: 'mode' index out of range,Semantic
872,Python,Python,IndexError: 'str' index out of range,Semantic
873,C,Clang,cannot convert 'name' to pointer,Semantic
874,C++,Clang,unexpected 'str',Syntactic
875,C++,Clang,cannot convert 'width' to pointer,Semantic
876,C++,GCC,invalid character 'sum' in identifier,Lexical
877,C++,Clang,use of undeclared identifier 'omega',Semantic
878,C,Clang,missing '*' in expression,Syntactic
879,C,Clang,redefinition of 'float',Semantic
880,C,GCC,variable '|' is uninitialized when used here,Semantic
881,C,Clang,cannot convert '+' to pointer,Semantic
882,C,Clang,incompatible types when assigning 'int' to 'int',Semantic
883,C++,Clang,unexpected character 'key',Lexical
884,C++,GCC,invalid character 'data' in identifier,Lexical
885,C,GCC,expected ')' matching '(' before '!',Syntactic
886,C,GCC,invalid token 'mean',Lexical
887,C++,Clang,unexpected character 'index',Lexical
888,C,GCC,invalid token '^',Lexical
889,C++,Clang,variable 'password' is uninitialized when used here,Semantic
890,C,GCC,unexpected '~',Syntactic
891,C++,Clang,unterminated string literal 'str',Lexical
892,C++,GCC,syntax error near 'user',Syntactic
893,C++,Clang,stray 'j' in program,Lexical
894,C,Clang,missing whitespace after 'total',Lexical
895,C,GCC,stray 'alpha' in program,Lexical
896,C,Clang,expected ';' before 'val',Syntactic
897,C++,GCC,use of undeclared identifier 'test',Semantic
898,C++,GCC,variable 'width' is uninitialized when used here,Semantic
899,Python,Python,invalid token 'double',Lexical
900,C++,GCC,invalid character 'int' in identifier,Lexical
901,C,GCC,missing whitespace after 'size',Lexical
902,C,GCC,IndexError: 'list' index out of range,Semantic
903,Python,Python,variable 'i' is uninitialized when used here,Semantic
904,C,GCC,IndexError: '&' index out of range,Semantic
905,C++,Clang,invalid suffix '>' on integer constant,Lexical
906,C++,Clang,cannot convert 'gamma' to pointer,Semantic
907,C,GCC,IndexError: 'i' index out of range,Semantic
908,C,Clang,stray 'node' in program,Lexical
909,C,GCC,TypeError: unsupported operand types for 'num',Semantic
910,C++,GCC,unterminated string literal 'gamma',Lexical
911,C++,GCC,unexpected 'size',Syntactic
912,C++,GCC,TypeError: unsupported operand types for 'count',Semantic
913,C++,GCC,expected ';' before 'char',Syntactic
914,C,GCC,TypeError: unsupported operand types for 'ptr',Semantic
915,C++,Clang,missing whitespace after 'max',Lexical
916,C++,GCC,expected ')' matching '(' before 'omega',Syntactic
917,C,GCC,IndexError: 'val' index out of range,Semantic
918,C,GCC,expected '}' at end of input near 'obj',Syntactic
919,Python,Python,invalid suffix 'data' on integer constant,Lexical
920,C,GCC,expected ')' matching '(' before 'double',Syntactic
921,C,GCC,invalid character 'height' in identifier,Lexical
922,Python,Python,use of undeclared identifier '>',Semantic
923,C++,Clang,expected '}' at end of input near 'str',Syntactic
924,Python,Python,invalid suffix '=' on integer constant,Lexical
925,Python,Python,expected identifier or '(' before 'total',Syntactic
926,C,GCC,use of undeclared identifier '@',Semantic
927,C,GCC,TypeError: unsupported operand types for 'mode',Semantic
928,C,Clang,expected ';' before 'gamma',Syntactic
929,Python,Python,expected '}' at end of input near 'key',Syntactic
930,C,Clang,redefinition of 'state',Semantic
931,C,Clang,use of undeclared identifier 'total',Semantic
932,Python,Python,variable 'total' is uninitialized when used here,Semantic
933,C++,Clang,use of undeclared identifier '/',Semantic
934,C++,GCC,missing '^' in expression,Syntactic
935,C++,Clang,redefinition of 'admin',Semantic
936,Python,Python,unexpected 'num',Syntactic
937,C++,GCC,expected ';' before '*',Syntactic
938,C++,Clang,TypeError: unsupported operand types for 'index',Semantic
939,C,GCC,invalid token 'result',Lexical
940,Python,Python,missing whitespace after 'result',Lexical
941,C,Clang,expected ';' before 'list',Syntactic
942,C++,GCC,expected identifier or '(' before 'index',Syntactic
943,Python,Python,TypeError: unsupported operand types for 'user',Semantic
944,C++,Clang,redefinition of 'length',Semantic
945,C++,Clang,syntax error near 'str',Syntactic
946,Python,Python,expected ')' matching '(' before 'i',Syntactic
947,C++,Clang,expected identifier or '(' before '<',Syntactic
948,Python,Python,variable 'val' is uninitialized when used here,Semantic
949,Python,Python,syntax error near 'height',Syntactic
950,C,Clang,unexpected 'index',Syntactic
